system:index,LAI,Npp,Npp_QC,Specie,date,elev,lat,long,pies,radius_m,site_code,site_name,.geo
2000_02_18_00000000000000000001,1.84,6964,22,Pinus_nigra,2018-05-10T00:00:00Z,1646,37.14336,-3.14902,39,9.0,PINIG_LANTEIRA_M,LANTEIRA_M,"{""type"":""Point"",""coordinates"":[-3.14901716394348,37.14335752757873]}"
2000_02_18_00000000000000000002,1.29,6595,20,Pinus_nigra,2021-10-27T00:00:00Z,1585,37.14837,-3.14652,40,13.3,PINIG_LANTEIRA_L2,LANTEIRA_L2,"{""type"":""Point"",""coordinates"":[-3.14652006735355,37.1483695571628]}"
2000_02_18_00000000000000000003,1.95,6877,22,Pinus_nigra,2020-10-06T00:00:00Z,1810,37.132,-3.147,41,8.9,PINIG_LANTEIRA_H,LANTEIRA_H,"{""type"":""Point"",""coordinates"":[-3.1470016502673217,37.1320001971956]}"
2000_02_18_0000000000000000000d,NA,6101,18,Quercus_ilex,2018-11-13T00:00:00Z,1541,37.14269,-2.88892,137,10.0,QUILE_FINANA,FIÑANA,"{""type"":""Point"",""coordinates"":[-2.888917799495981,37.1426886624207]}"
2000_02_18_0000000000000000000e,NA,6124,20,Quercus_ilex,2018-11-20T00:00:00Z,1811,37.12968,-2.89109,NA,9.0,QUILE_ABRUCENA,ABRUCENA,"{""type"":""Point"",""coordinates"":[-2.891089381709009,37.12967700554675]}"
2000_02_18_00000000000000000004,1.08,5172,18,Pinus_pinaster,2021-10-27T00:00:00Z,1433,37.15454,-3.13756,37,12.1,PIPIN_LANTEIRA_L2,LANTERIA_L2,"{""type"":""Point"",""coordinates"":[-3.137561733337176,37.15454095302077]}"
2000_02_18_00000000000000000005,1.48,5799,16,Pinus_pinaster,2021-10-26T00:00:00Z,1353,37.18253,-3.17767,41,11.6,PIPIN_JEREZ_L,JEREZ_L,"{""type"":""Point"",""coordinates"":[-3.177671347312922,37.18253073033325]}"
2000_02_18_00000000000000000006,1.73,7191,20,Pinus_pinaster,2018-05-09T00:00:00Z,1605,37.16089,-3.19681,33,11.0,PIPIN_JEREZ_M,JEREZ_M,"{""type"":""Point"",""coordinates"":[-3.196805349933258,37.160890712920875]}"
2000_02_18_00000000000000000007,1.94,7162,28,Pinus_pinaster,2020-10-06T00:00:00Z,1770,37.135,-3.198,40,9.0,PIPIN_JEREZ_H,JEREZ_H,"{""type"":""Point"",""coordinates"":[-3.1980003890155833,37.13500117220457]}"
2000_02_18_00000000000000000000,1.59,6160,16,Pinus_halepensis,2018-12-28T00:00:00Z,1212,37.08871,-2.68649,41,10.0,PIHAL_NACIMIENTO_M,NAC_HALEPENSIS,"{""type"":""Point"",""coordinates"":[-2.686487988972699,37.088711244168756]}"
2000_02_18_00000000000000000010,1.33,2406,22,Pinus_halepensis,2022-06-13T00:00:00Z,974,37.1101,-2.69854,41,8.7,PIHAL_NACIMIENTO_L,NAC_HALEPENSIS_2,"{""type"":""Point"",""coordinates"":[-2.6985409391201634,37.11010155192212]}"
2000_02_18_00000000000000000011,1.36,4488,20,Pinus_halepensis,2022-06-15T00:00:00Z,1359,37.16982,-3.05232,40,11.3,PIHAL_RAGUA_H,RAG PIHA 3,"{""type"":""Point"",""coordinates"":[-3.052321557599505,37.16981783322988]}"
2000_02_18_00000000000000000008,3.11,8298,22,Pinus_sylvestris,2018-11-28T00:00:00Z,1633,36.95607,-3.30093,37,13.0,PISYL_PORTUGOS_L,PORTUGOS_L,"{""type"":""Point"",""coordinates"":[-3.3009298186322735,36.9560663651319]}"
2000_02_18_00000000000000000009,3.36,7751,20,Pinus_sylvestris,2018-12-11T00:00:00Z,1748,36.96002,-3.30361,47,9.0,PISYL_PORTUGOS_M,PORTUGOS_M,"{""type"":""Point"",""coordinates"":[-3.3036097383653944,36.96001712866525]}"
